composition,winrate,games
10|11|13|16|58|72,1.0,1
10|11|13|19|4|60,0.0,1
10|11|13|20|4|64,1.0,1
10|11|15|27|3|50,0.0,1
10|11|15|2|6|65,0.0,1
10|11|16|3|4|63,1.0,1
10|11|17|27|35|81,0.0,1
10|11|20|50|6|65,0.0,1
10|11|27|4|76|81,1.0,1
10|11|31|58|76|77,0.0,1
10|12|13|15|58|76,0.0,1
10|13|15|16|18|65,0.0,1
10|13|15|2|58|66,0.0,1
10|13|16|20|31|64,0.0,1
10|13|16|2|66|79,1.0,1
10|13|18|6|65|76,0.0,1
10|13|19|69,0.0,1
10|13|25|76|79|80,1.0,1
10|13|27|35|67|77,0.0,1
10|13|3|64|66|79,0.0,1
10|13|64|66|76|79,1.0,1
10|15|16|20|64|65,1.0,1
10|15|2|6|76|79,1.0,1
10|15|31|4|64|77,1.0,1
10|15|58|7|72|77,0.0,1
10|15|63|64|66|76,1.0,1
10|16|20|35|64|7,1.0,1
10|16|20|4|64|81,0.0,1
10|16|63|65|66|67,1.0,1
10|17|18|4|50|6,0.0,1
10|17|35|64|69|77,0.0,1
10|18|31|63|64|7,1.0,1
10|18|4|52|76|81,0.0,1
10|18|4|64|7|77,1.0,1
10|18|63|65|66|7,1.0,1
10|18|64|66|7|8,0.0,1
10|19|20|52,1.0,1
10|19|25|31|50|60,0.0,1
10|19|35|52|63|79,0.0,1
10|19|52|76|79|81,0.0,1
10|19|69|76|77|80,0.0,1
10|19|6|63|65|79,0.0,1
10|25|4|64|65|67,1.0,1
10|2|25|35|63|79,0.0,1
10|2|67|72|77|8,0.0,1
10|35|4|7,1.0,1
10|4|52|60|63|72,0.0,1
10|64|66|67|7|81,0.0,1
10|6|63|66|69|77,1.0,1
10|6|64|7|79|81,0.0,1
11|12|13|15|2|58,1.0,1
11|12|2|7|76|77,1.0,1
11|13|16|19|20|81,1.0,1
11|13|18|19|3|65,1.0,1
11|13|18|4|65|80,1.0,1
11|13|4|6|76|8,1.0,1
11|13|65|66|76|79,0.5,2
11|13|77|80,1.0,1
11|15|16|27|67|76,1.0,1
11|15|16|2|76|77,0.0,1
11|15|16|65|66|67,1.0,1
11|15|17|2|58|66,0.0,1
11|15|2|25|63|67,0.0,1
11|15|2|81,0.0,1
11|15|31|58|76|81,0.0,1
11|15|52|63|77|81,1.0,1
11|16|18|50|65|7,1.0,1
11|16|18|63|67|7,1.0,1
11|16|25|7|80|81,0.0,1
11|16|2|50|67|76,1.0,1
11|16|35|63|65|81,0.0,1
11|16|58|63|69|76,1.0,1
11|18|2|4|7|76,1.0,1
11|19|2|63|66|79,1.0,1
11|19|3|31|52|65,0.0,1
11|19|3|63,0.0,1
11|19|3|66|69|7,0.0,1
11|19|50|7|79|80,0.0,1
11|19|69|7|76|81,0.0,1
11|20|6|63|64|80,0.0,1
11|20|7|76|8|80,1.0,1
11|2|27|69|72|77,0.0,1
11|35|63|65|69|77,0.0,1
11|35|65|77,1.0,1
11|50|65|66|67|76,0.0,1
11|52|58|79|80|81,1.0,1
11|65|67|77,1.0,1
12|13|15|16|3|65,0.0,1
12|13|15|16|3|76,0.0,1
12|13|15|25,1.0,1
12|13|15|2|66|8,0.0,1
12|13|15|6|63|80,0.0,1
12|13|16|25|3|76,0.0,1
12|13|16|6|63|64,0.0,1
12|13|17|18|4|7,1.0,1
12|13|18|3|58|65,1.0,1
12|13|27|65|79|8,1.0,1
12|13|2|20|31|64,0.0,1
12|13|2|27|64|79,1.0,1
12|13|2|66|72|79,0.0,1
12|13|3|31|66|8,1.0,1
12|13|3|65|69|72,1.0,1
12|15|64|65|69|76,1.0,1
12|16|20|50|63|81,0.0,1
12|16|65|76|77|80,0.0,1
12|17|18|4|65|7,0.0,1
12|18|2|63|65|76,0.0,1
12|18|3|58|63|65,1.0,1
12|25|60|65|76|79,1.0,1
12|27|50|63|79|80,0.0,1
12|31|4|52|77|81,0.0,1
12|3|63|66|67|76,0.0,1
12|52|63|64,0.0,1
12|63|65|77|79|80,1.0,1
12|6|63|7|79|80,0.0,1
13|14|15|20|27|64,0.0,1
13|14|15|3|6|69,1.0,1
13|14|16|6|76|81,0.0,1
13|14|35|72|76|8,1.0,1
13|15|16|17|18|64,0.0,1
13|15|16|27|3|60,1.0,1
13|15|18|2|35|4,0.0,1
13|15|19|27|76|79,0.0,1
13|15|19|31|58|67,0.0,1
13|15|19|31|76|79,0.0,1
13|15|20|67|72|76,1.0,1
13|15|20|72|76|79,1.0,1
13|16|18|20|3|76,1.0,1
13|16|18|20|63|66,1.0,1
13|16|31|35|58|76,1.0,1
13|16|35|67|7|72,0.0,1
13|17|18|72|76|81,0.0,1
13|18|19|64|65|69,0.0,1
13|18|20|31|4|50,1.0,1
13|18|20|31|50|65,0.0,1
13|18|20|3|35|7,1.0,1
13|18|20|52|66|8,1.0,1
13|18|20|60|65|77,0.0,1
13|18|2|20|6|63,1.0,1
13|18|2|35|77|8,0.0,1
13|18|63|76|80|81,1.0,1
13|18|64|65,1.0,1
13|18|64|65|69|81,1.0,1
13|18|65|66|69|80,0.0,1
13|19|20|35|67|7,1.0,1
13|19|25|50|6|67,1.0,1
13|19|27|69|7|79,1.0,1
13|19|2|66|67|69,1.0,1
13|19|2|67|69|72,0.0,1
13|20|25|35|69|77,0.0,1
13|20|25|72|79|81,0.0,1
13|20|27|4|66|79,1.0,1
13|20|31|7|72|77,0.0,1
13|20|35|67|77|80,0.0,1
13|20|6|80,1.0,1
13|2|20|6|66|67,1.0,1
13|2|35|66|77|79,1.0,1
13|31|35|58|67|77,1.0,1
13|31|4|64|69|81,0.0,1
13|35|60|64|8|81,0.0,1
13|4|60|7|72|79,0.0,1
13|60|63|66|72|79,1.0,1
13|64|65|69|72|79,0.0,1
14|16|17|66|67|76,1.0,1
14|16|2|4|77|80,1.0,1
14|17|65|66|69|80,1.0,1
14|19|25|4|50|60,1.0,1
14|19|2|4|64|67,1.0,1
14|19|63|66|76|79,1.0,1
14|19|64|76|8|80,1.0,1
14|27|35|7,1.0,1
14|35|4|50,0.0,1
14|3|64|76|8|80,0.0,1
14|4|65|80,1.0,1
14|65|72|76|77|79,1.0,1
15|16|20|35|58|77,0.0,1
15|16|20|6|7|80,1.0,1
15|16|25|50|64|69,1.0,1
15|16|27|3|31|76,0.0,1
15|16|2|20|63|76,0.0,1
15|16|3|77|8|80,1.0,1
15|16|4|50|69|72,1.0,1
15|18|25|63|65|67,0.0,1
15|18|2|20|65|81,1.0,1
15|19|20|27|65|79,0.0,1
15|19|2|4|77|79,0.0,1
15|20|50|65|67|72,0.0,1
15|20|63|80,1.0,1
15|27|31|63|65|67,1.0,1
15|27|3|35|52|79,0.0,1
15|2|20|25|64|69,0.0,1
15|2|27|58|6|79,1.0,1
15|2|31|66|69|81,0.0,1
15|2|76|80,0.0,1
15|31|4|64|69|7,1.0,1
15|31|64|76,0.0,1
15|31|6|76|79|80,1.0,1
15|35|4|64|76|8,1.0,1
15|3|58|72|76|79,0.0,1
15|4|63|66|76|79,1.0,1
15|52|6|65|67|8,0.0,1
15|58|6|69|76|77,0.0,1
16|17|20|25|65|79,0.0,1
16|18|2|20|7|72,0.0,1
16|18|2|64|7|8,1.0,1
16|18|2|67|7|76,1.0,1
16|18|3|63|65|8,1.0,1
16|18|50|67|7|77,1.0,1
16|18|63|65|67|8,0.0,1
16|19|3|76,1.0,1
16|19|67|76,1.0,1
16|20|35|63|7|77,0.0,1
16|20|50|58|66|79,1.0,1
16|20|52|64|69|80,1.0,1
16|20|58|63|66|79,1.0,1
16|20|58|69|72|77,1.0,1
16|25|35|52|65|79,0.0,1
16|27|35|50|69|76,1.0,1
16|2|20|31|79|80,1.0,1
16|2|3|31|35|81,1.0,1
16|2|3|31|69|72,0.0,1
16|35|63|64|7|79,0.0,1
16|3|31|65|77|79,1.0,1
16|50|64|66|79|81,1.0,1
16|64|7|72|76|79,0.0,1
16|65|67|69|8|81,0.0,1
16|66|69|80,0.0,1
17|18|27|64|69|7,0.0,1
17|18|4|63|69|80,1.0,1
17|19|20|6|63|81,0.0,1
17|19|67|77|8|80,0.0,1
17|20|31|65|66|67,1.0,1
17|20|31|65|72|79,0.0,1
17|25|27|67|69|81,1.0,1
17|31|52|6|67|76,0.0,1
17|31|6|65|69|79,0.0,1
17|4|66|69,1.0,1
18|19|2|65|77|79,1.0,1
18|20|31|4|50|7,1.0,1
18|20|35|4|50|81,1.0,1
18|2|27|64|65|69,0.0,1
18|2|35|65|79|80,1.0,1
18|2|52|6|76|8,1.0,1
18|2|6|65|67|76,1.0,1
18|31|35|50|58|81,0.0,1
18|35|4|65|7|8,1.0,1
18|35|63|65|69|7,1.0,1
18|50|63|7|72|79,1.0,1
18|63|64|69|7|72,0.0,1
18|63|69|7|77|80,0.0,1
18|65|66|69|7|76,0.0,1
19|20|3|64|65|67,1.0,1
19|20|3|65|67|76,0.0,1
19|2|3|67|8|80,0.0,1
19|31|4|69|8|80,0.0,1
19|3|6|60|64|67,1.0,1
19|60|67|72,0.0,1
19|65|67|7,1.0,1
1|10|12|52|58|69,1.0,1
1|10|13|18|63|72,1.0,1
1|10|15|6|63|69,1.0,1
1|10|17|18|20|4,1.0,1
1|10|17|18|60|63,1.0,1
1|10|19|31|4|60,0.0,1
1|10|20|25|67|81,1.0,1
1|10|2|27|69|79,0.0,1
1|10|31|69|7|77,1.0,1
1|11|13|16|35|65,1.0,1
1|11|16|64,0.0,1
1|11|16|64|67|7,0.0,1
1|11|19|31|79|81,0.0,1
1|11|25|67|7|80,1.0,1
1|11|31|63|64|76,1.0,1
1|11|35|4|69|7,0.0,1
1|11|35|7|76|79,1.0,1
1|11|3|81,0.0,1
1|11|6|60|63|76,0.0,1
1|11|7|76|80|81,0.0,1
1|11|7|77|79|80,0.0,1
1|12|13|15|58|67,0.0,1
1|12|13|27|69|81,1.0,1
1|12|13|6|65|69,1.0,1
1|12|18|50|58|76,0.0,1
1|12|35|7|77|8,1.0,1
1|13|15|20|72|79,0.0,1
1|13|16|18|50|69,1.0,1
1|13|16|19|20|79,1.0,1
1|13|16|20|6|69,1.0,1
1|13|18|50|64|67,1.0,1
1|13|18|7|76|79,1.0,1
1|14|16|18|63|7,1.0,1
1|15|16|2|79|80,0.0,1
1|15|16|3|4|67,0.0,1
1|15|35|4|58|79,1.0,1
1|15|3|6|65|67,0.0,1
1|15|4|7|79|8,0.0,1
1|15|65|69,0.0,1
1|16|31|63|64|67,0.0,1
1|17|18|25|67|7,1.0,1
1|17|18|25|7|79,0.0,1
1|17|18|35|63|67,0.0,1
1|17|18|52|67|72,1.0,1
1|17|25|3|60|79,0.0,1
1|18|31|65|69|7,1.0,1
1|18|3|52|6|60,0.0,1
1|18|4|64|79|8,0.0,1
1|19|63|69|79|80,1.0,1
1|20|27|3|77|79,1.0,1
1|20|35|69|7|76,1.0,1
1|20|4|52|60|64,0.0,1
1|25|3|64|67|69,1.0,1
1|27|4|65|67|69,0.0,1
1|2|25|67|76|79,0.0,1
1|3|31|4|67|77,1.0,1
1|3|58|69|72|79,0.0,1
1|50|66|67|72|79,0.0,1
1|60|64|65|77|79,0.0,1
1|64|65|67,1.0,1
1|65|66|67|79|80,1.0,1
1|6|67|7|72|79,1.0,1
20|25|63|77|79|80,0.0,1
20|27|50|67|76|81,0.0,1
20|27|60|64|65|8,0.0,1
20|35|4|65|69|76,1.0,1
20|35|60|63|72|81,1.0,1
20|3|76|77,0.0,1
20|4|64|67|7|80,1.0,1
20|4|66|7|79|81,1.0,1
20|4|67|7,1.0,1
20|4|69|81,1.0,1
20|52|66|67|72|76,1.0,1
20|58|63|66|69|76,0.0,1
25|27|58|64|67|69,0.0,1
25|27|69|76|8|81,1.0,1
25|31|63|79|80|81,1.0,1
25|31|64|7|76|79,0.0,1
25|3|31|65|79|81,0.0,1
25|3|52|76|79|8,1.0,1
25|3|8|81,1.0,1
25|65|67|7,0.0,1
27|35|64|77,0.0,1
27|35|6|65|67|7,0.0,1
27|35|76|79,0.0,1
27|35|7|81,1.0,1
2|20|25|63,0.0,1
2|20|4|52|67|8,1.0,1
2|20|58|76|77|79,0.0,1
2|20|6|81,0.0,1
2|25|35|63|79|80,0.0,1
2|25|65|69,1.0,1
2|31|50|64|66|81,0.0,1
2|31|64|67|76|77,1.0,1
2|60|69|72|77|80,1.0,1
2|66|67|77|8|81,0.0,1
2|66|69|72|79|80,0.0,1
2|6|69|80,0.0,1
31|35|69|80,0.0,1
31|4|52|67,0.0,1
31|4|6|76,0.0,1
31|64|66|69,1.0,1
31|65|67|77|80|81,1.0,1
31|65|69|7|72|79,1.0,1
31|6|63|65|67|76,0.0,1
35|50|52|6|79|8,1.0,1
35|65|79|80,1.0,1
3|35|58|64|76|8,0.0,1
3|65|69|72|77|79,1.0,1
4|66|67|76,1.0,1
4|69|8|80,1.0,1
4|6|63|65|67|8,1.0,1
52|6|76|77|79|80,0.0,1
58|60|69|72|76|81,0.0,1
58|64|69|72|76|79,0.0,1
60|63|66|80,0.0,1
60|65|67|72|77|79,0.0,1
63|64|65|66|67|77,0.0,1
63|66|67|76,1.0,1
63|66|67|7|72|79,1.0,1
64|69|77|80,1.0,1
65|66|76|79,1.0,1
66|67|72|76|79|8,1.0,1
69|76|77|80,0.0,1
